experiment_id,material_id,date,temperature_c,pressure_atm,result_yield_pct,researcher
4e221fd0-fd3d-4a63-a9fb-e3af6dbe8a9b,8978701e-2861-4bcf-829f-a9ed2363a088,2025-05-30,308,9.81,77.11,Mr. Brian Wolfe Jr.
868e8f82-8b73-47da-9487-52213d2835f0,f62f25f3-f4eb-472f-900c-131bca6080f8,2023-12-28,621,1.27,68.57,Rebecca Cruz
25597687-df05-42e1-bea9-cb7a6faa301a,b48cabb9-c15e-4f31-8243-143786d954d3,2025-05-25,876,1.31,58.0,Christine Collins
199d6d97-72da-48e5-94aa-8d882781bda6,1f57bd5c-a90f-4144-b4b4-2389edc630fa,2023-12-07,668,6.47,88.69,Emma Peterson
4dc8c0cc-de42-49eb-8cf8-8d891c0b2145,144d4b20-262c-4f78-8dd3-fc86ede24861,2023-10-31,538,3.27,82.38,Terry Lopez
6ec3af94-7bd7-44cd-b3d4-3eba674ae232,bbc3e76d-e0b9-4513-a0fe-b56038685d32,2025-07-23,391,2.76,95.88,Mrs. Alexandra Wood
ecc2293d-3ef3-4ef3-b7d1-e23ce5b2817a,8118a124-3629-43c9-aae7-140023703b4e,2025-02-06,853,3.2,81.28,John Morgan
ac2553eb-c0d0-4c7d-89ea-aeddfdf78509,f20232a7-5362-4a7a-8763-2a44a11ce1b5,2024-12-18,640,8.55,81.61,Gabriel Ellis
fb591dd0-5d79-43e9-967e-2b8e75abadfe,fa2be36b-8c0f-460d-b04d-6228fabba338,2023-11-03,186,4.14,53.03,Bonnie Kelley
a5ca4b76-9513-4818-9169-541424957386,9ad9d426-004e-4845-ad06-48bf1194cc47,2024-11-22,107,9.62,87.76,Sarah Gaines
1646ac6b-5bd2-403a-93bd-e6c4aa0c88c4,618f6185-619a-4487-a224-02ba0b895933,2025-07-31,195,2.12,65.32,Stephen Lee
f575eb7b-c126-4a52-9530-e4cca63559eb,9d753ab4-1ef0-468f-80af-d9d611fc064c,2025-09-11,1074,7.7,94.67,Timothy Choi
bac524bc-f52f-4624-b76a-d8c54fce08c9,6699ac4a-aa44-4812-ad48-c3fbbcd3a9ee,2024-03-17,764,9.15,74.94,Charles Welch
c3558c32-455c-4b8c-b481-ddf49ac756cf,fa2be36b-8c0f-460d-b04d-6228fabba338,2024-12-03,155,7.85,44.3,Antonio Smith
c22e88dd-fc4f-4fe2-ac91-f5f4186ac33a,c79e21bd-63cb-4c11-b082-31379003618b,2024-03-05,579,6.62,47.33,Dwayne Tate
863f3ede-5f0e-4c1f-b27b-9c94c4e6e101,afbd70b6-41b4-46aa-942a-a0aaac26e7c6,2025-08-12,102,6.0,42.34,Chad Morales
